work_type,dropdown_title,date,description,first_image_name
Electrical (Minor Works),Downlight Upgrades,Oct-23,Installed new energy efficient down lights with new bezels.,"e_downlight_upgrades(0.5).webp, e_downlight_upgrades(1).webp, e_downlight_upgrades(1.5).webp, e_downlight_upgrades(2).webp, e_downlight_upgrades(3).webp, e_downlight_upgrades(4).webp"
Electrical (Minor Works),Ceiling Light,Mar-23,Removed an old ceiling light and installed a new one.,e_ceiling_light(1).webp
Electrical (Minor Works),Outdoor Socket,Aug-22,Installed a smart waterproof double socket for outdoor lighting.,"e_outdoor_socket(0.4).webp, e_outdoor_socket(0.8).webp, e_outdoor_socket(1).webp, e_outdoor_socket(2).webp, e_outdoor_socket(3).webp"
Electrical (Minor Works),Smart Heating Controls,Jan-22,Installed a TADO Wireless Smart Thermostat Starter Kit and Radiator Thermostats,"e_smart_heating_controls(1).webp, e_smart_heating_controls(2).webp, e_smart_heating_controls(3).webp"
Electrical (Minor Works),Dimmer Switch,Feb-21,Removed traditional switch and replaced with LED compatible dimmer.,e_bedroom_dimmer(1).webp
Electrical (Minor Works),Dangerous Socket Removal,Mar-19,"Removed a dangerous electrical socket, made safe and installed a blanking plate.",e_blanking_plate(1).webp
Carpentry & Woodwork,Robot Vacuum Cleaner Ramp,Jan-26,Built ramp out of leftover waste materials so a robot vacuum cleaner could get around an Edwardian house.,cw_robovac_ramp(1).webp
Carpentry & Woodwork,Woodshed,Oct-23,Designed and constructed a waterproof woodshed out of upcycled materials.,cw_woodshed(1).webp
Carpentry & Woodwork,Outdoor Coffee Table,Sep-23,Refurbished a garden table using decking planks to make a new surface.,cw_outdoor_table_rebuild(1).webp
Carpentry & Woodwork,Lego Table,Jul-20,Designed and built a LEGO table including a sliding drawer and building surface.,cw_lego_table(1).webp
Carpentry & Woodwork,Birdbox,May-20,Upcycled wood offcuts to build a rustic birdbox.,cw_birdbox(1).webp
Carpentry & Woodwork,Custom Desk,Apr-20,Converted a disused chest of drawers into a stylish modern desk.,cw_desk(1).webp
Carpentry & Woodwork,Coffee Tables,Apr-18,Upcycled the leaves and legs from a dining table into two stylish coffee tables.,cw_stools(1).webp
Carpentry & Woodwork,Alcove Shelves,Jul-15,Rustic chunky alcove shelves built by carving and staining a modern piece of pine.,cw_rustic_shelves(1).webp
Carpentry & Woodwork,Bespoke Carving Board,Dec-13,Designed and built a bespoke carving board to match an antique silver cloche.,cw_carving_board(1).webp
Carpentry & Woodwork,Custom Built Chunky Stools,Nov-13,Designed and built two matching stools out of reclaimed joists.,cw_matching_stools.webp
Carpentry & Woodwork,Upcycling Blanket Chest,Jul-24,Lined and waterproofed an old blanket chest for outdoor storage.,cw_upcycling_chest(1).webp
Carpentry & Woodwork,Teak Furniture Restoration,Jul-24,Repaired and restored a vintage teak garden table and chairs.,cw_teak_furniture_restoral(1).webp
Outdoor & Garden Work,Pergola Sunbathing Platform,Nov-25,Designed and built an 8-foot-tall pergola and waterproofed platform with artificial grass.,gmp_pergola(1).webp
Outdoor & Garden Work,Concrete Base & Bike Anchor,Oct-25,"Excavated earth, filled with concrete and installed a ground anchor for a bike shed.",gmp_bike_lock_anchor(1).webp
Outdoor & Garden Work,Decking Maintenance,Mar-25,Jet washed decking area and refreshed life with two coats of decking oil.,gmp_decking_oil(1).webp
Outdoor & Garden Work,Artificial Grass Patch Repair ,Mar-25,Replaced a patch of real grass that wouldn't grow with high-quality artificial turf.,gmp_artifical_turf(1).webp
Outdoor & Garden Work,Wooden Planter Fascia,Feb-25,Constructed a bespoke wooden planter fascia to cover an ugly plastic planter.,gmp_planter_fascia(1).webp
Outdoor & Garden Work,Large Rockery and Water feature,Oct-24,"Built a rockery and installed a waterfall, including all of the pipework.",gmp_rockery_waterfall(1).webp
Outdoor & Garden Work,Weed Membrane and Slate Chippings,Oct-24,"Cleared area, laid weed-proof membrane and finished with slate chippings.",gmp_slate_chippings(1).webp
Outdoor & Garden Work,Fence Repairs,Jul-24,Removed rotten posts and installed new ones including waterproof membrane.,gmp_fencing(1).webp
Outdoor & Garden Work,General Garden Maintenance,Jul-24,Pruning and training creepers as well as refreshing glass of a lean to conservatory.,gmp_outhouse_vines(1).webp
Outdoor & Garden Work,Returfing a Section of Lawn,Jul-24,Removal of old weed-strewn turf and neat installation of new turf.,gmp_turf(1).webp
Outdoor & Garden Work,Repaired and Restored a Garden Storage Unit,May-24,"Deconstructed a tired storage unit, repaired boards, and reconstructed.",gmp_storage_shed(1).webp
Outdoor & Garden Work,Decking Patch Repairs,Apr-24,"Lifted old decking, replaced rotten joists and planks where needed.",gmp_decking_patch_repairs(1).webp
Outdoor & Garden Work,Garden Pond,Apr-24,"Cleared vegetation, dug area, and installed a pond with fountain and slate surround.",gmp_pond(1).webp
Outdoor & Garden Work,Decking Step,Sep-23,Installed a large step made of decking to reduce the height change.,gmp_decking_step(1).webp
Outdoor & Garden Work,Decking Path,Jun-23,"Removed old broken path. Installed joists, weed membrane and new decking path.",gmp_garden_decking_path(1).webp
Outdoor & Garden Work,Brick Shed Roof,Oct-22,Resealed lead flashing and laid fresh felt to waterproof a shed roof.,gmp_brick_shed_roof(1).webp
Outdoor & Garden Work,Bike Shed Reroof,Oct-22,Installed a new Onduline roof on a bike shed and painted to preserve.,gmp_bike_shed_reroof(1).webp
Outdoor & Garden Work,Garden Office,May-22,Co-constructed a foundation and built a garden office from a kit.,gmp_garden_office(1).webp
Outdoor & Garden Work,Outdoor Furniture,Apr-22,Conversion from a box of bits to a comfortable outdoor sofa.,gmp_outdoor_furnture(1).webp
Outdoor & Garden Work,Garden Trellis,Mar-22,Removed old fence panels and installed full 6ft trellis panels.,gmp_trellis(1).webp
Outdoor & Garden Work,General Garden Clearance,Aug-21,Cleared a mountain of climbers and pruned plants to tidy up.,gmp_general_garden_clearance(1).webp
Outdoor & Garden Work,Dismantling of Brick Wall,Feb-20,Safely removed a wall that was falling down and re-rendered the house wall.,gmp_brickwall_removal(1).webp
Outdoor & Garden Work,Fencepost Repairs,Feb-16,Dug rusted supports out of concrete and installed new supports and posts.,gmp_fencepost_repairs(1).webp
Outdoor & Garden Work,Bike Shed and Trellis,Jun-15,Added foundation joists. Constructed a bike shed.  Built and installed customised trellis.,gmp_bike_shed_trellis(0.5).webp
Outdoor & Garden Work,Grave Maintenance,Oct-14,Specialised grave maintenance and restoration work.,gmp_grave_maintenance.webp
Outdoor & Garden Work,Garden Shed Upgrade,May-12,Painted a standard garden shed into a beach hut style shed.,gmp_shed_paint(1).webp
Outdoor & Garden Work,Full Garden Renovation,Dec-09,Sadley only part transformation photos available for this complete renovation.,gmp_full_garden_job(1).webp
Outdoor & Garden Work,Herb Planters,Aug-24,Designed and built custom herb planters with blackboard labels.,cw_herb_planters(1).webp
Outdoor & Garden Work,Bespoke Planters,Jun-23,Built custom planters from upcycled decking materials.,cw_planters(1).webp
